0, 18-04-2020 14:26:24, Hardware monitoring log v1.5 ,,,,,,,,,,,,,
1, 18-04-2020 14:26:24, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,
2, 18-04-2020 14:26:24, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,
80, 18-04-2020 14:27:42,43,50,66.965,180,405,63,15.039,3190.149,3296,113.3,0,,,2020-04-18T14:27:42.602303900+03:00 polygons 900 objects 75
80, 18-04-2020 14:27:43,43,48,66.965,180,405,63,14.844,3289.841,3296,111,0,,,2020-04-18T14:27:43.602049800+03:00 polygons 912 objects 76
80, 18-04-2020 14:27:44,43,52,66.965,162,405,63,15.234,3289.841,3296,110.9,0,,,2020-04-18T14:27:44.601795200+03:00 polygons 924 objects 77
80, 18-04-2020 14:27:45,43,51,66.965,162,405,63,14.648,3289.841,3296,109,0,,,2020-04-18T14:27:45.617201400+03:00 polygons 936 objects 78
80, 18-04-2020 14:27:46,43,51,66.965,147.272,405,59,14.648,3289.841,3296,108.8,0,,,2020-04-18T14:27:46.616967300+03:00 polygons 948 objects 79
80, 18-04-2020 14:27:47,43,55,66.965,147.272,405,63,14.063,3289.841,3296,106.9,0,,,2020-04-18T14:27:47.616733700+03:00 polygons 960 objects 80
80, 18-04-2020 14:27:48,43,54,66.965,147.272,405,63,14.453,3190.149,3296,106.2,0,,,2020-04-18T14:27:48.616500900+03:00 polygons 972 objects 81
80, 18-04-2020 14:27:49,43,54,66.965,147.272,405,64,14.063,3289.84,3296,105,0,,,2020-04-18T14:27:49.616268300+03:00 polygons 984 objects 82
80, 18-04-2020 14:27:50,43,54,66.965,147.272,405,59,14.258,3190.148,3296,103.8,0,,,2020-04-18T14:27:50.631652600+03:00 polygons 996 objects 83
80, 18-04-2020 14:27:51,43,55,66.965,147.272,405,65,14.844,3289.841,3296,102.4,0,,,2020-04-18T14:27:51.631423100+03:00 polygons 1008 objects 84
80, 18-04-2020 14:27:52,44,53,66.965,147.272,405,65,15.625,3190.149,3296,101.5,0,,,2020-04-18T14:27:52.646811300+03:00 polygons 1020 objects 85
80, 18-04-2020 14:27:53,43,54,66.965,147.272,405,63,14.258,3289.841,3296,98.5,0,,,2020-04-18T14:27:53.662172300+03:00 polygons 1032 objects 86
80, 18-04-2020 14:27:54,43,48,66.965,147.272,405,64,14.648,3289.841,3295,97.5,0,,,2020-04-18T14:27:54.661964200+03:00 polygons 1044 objects 87
80, 18-04-2020 14:27:55,43,53,66.965,147.272,405,63,15.234,3190.149,3295,98.8,0,,,2020-04-18T14:27:55.661731800+03:00 polygons 1056 objects 88
80, 18-04-2020 14:27:56,44,55,66.965,135,405,60,14.453,3190.149,3295,96.6,0,,,2020-04-18T14:27:56.677114300+03:00 polygons 1068 objects 89
80, 18-04-2020 14:27:57,44,54,66.965,135,405,64,14.648,3289.841,3295,96.7,0,,,2020-04-18T14:27:57.676880300+03:00 polygons 1080 objects 90
