00, 02-05-2020 19:57:26, Hardware monitoring log v1.5 
01, 02-05-2020 19:57:26, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:57:26, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
80, 02-05-2020 19:59:12, 7.000               ,463.242             ,29.688              ,4191.159            ,4013.000            ,157.300             ,7.336               
80, 02-05-2020 19:59:13, 7.000               ,463.242             ,28.516              ,4191.158            ,4013.000            ,155.600             ,7.899               
80, 02-05-2020 19:59:14, 7.000               ,463.242             ,47.656              ,4191.159            ,4004.000            ,150.500             ,7.672               
80, 02-05-2020 19:59:15, 7.000               ,463.242             ,55.859              ,4191.159            ,4004.000            ,146.500             ,9.197               
80, 02-05-2020 19:59:16, 7.000               ,463.242             ,55.859              ,4191.158            ,4015.000            ,145.700             ,7.975               
80, 02-05-2020 19:59:17, 7.000               ,463.242             ,53.906              ,4191.158            ,4017.000            ,143.400             ,10.664              
80, 02-05-2020 19:59:18, 7.000               ,463.242             ,55.078              ,4191.158            ,4005.000            ,142.700             ,8.336               
80, 02-05-2020 19:59:19, 7.000               ,463.242             ,57.031              ,4191.159            ,4016.000            ,140.000             ,9.322               
80, 02-05-2020 19:59:20, 7.000               ,463.242             ,55.469              ,4191.159            ,4018.000            ,138.800             ,10.288              
80, 02-05-2020 19:59:21, 7.000               ,463.242             ,55.859              ,4191.159            ,4006.000            ,137.800             ,9.094               
80, 02-05-2020 19:59:22, 7.000               ,463.242             ,54.688              ,4191.158            ,4006.000            ,136.700             ,10.156              
80, 02-05-2020 19:59:23, 7.000               ,463.242             ,52.734              ,4191.158            ,4016.000            ,135.100             ,9.213               
80, 02-05-2020 19:59:24, 7.000               ,463.242             ,35.547              ,4191.158            ,4014.000            ,136.700             ,10.589              
80, 02-05-2020 19:59:25, 7.000               ,463.242             ,29.297              ,4191.159            ,4004.000            ,137.500             ,8.058               
80, 02-05-2020 19:59:26, 7.000               ,463.242             ,28.906              ,4191.159            ,4003.000            ,136.400             ,8.392               
80, 02-05-2020 19:59:27, 7.000               ,463.242             ,28.125              ,4191.158            ,4011.000            ,135.100             ,8.152               
80, 02-05-2020 19:59:28, 7.000               ,463.242             ,28.516              ,4191.159            ,4012.000            ,133.200             ,9.258               
80, 02-05-2020 19:59:29, 7.000               ,463.242             ,28.516              ,4191.157            ,4005.000            ,131.900             ,8.481               
80, 02-05-2020 19:59:30, 7.000               ,463.242             ,29.297              ,4191.160            ,4004.000            ,130.500             ,9.123               
80, 02-05-2020 19:59:31, 7.000               ,463.242             ,27.344              ,4191.158            ,4005.000            ,129.900             ,8.590               
80, 02-05-2020 19:59:32, 7.000               ,463.242             ,29.297              ,4191.158            ,4006.000            ,127.600             ,8.617               
80, 02-05-2020 19:59:33, 7.000               ,463.242             ,29.297              ,4191.159            ,4002.000            ,127.100             ,8.578               
80, 02-05-2020 19:59:34, 7.000               ,463.242             ,28.906              ,4191.158            ,4009.000            ,125.400             ,9.094               
80, 02-05-2020 19:59:35, 7.000               ,463.242             ,26.563              ,4191.158            ,4009.000            ,125.300             ,8.934               
80, 02-05-2020 19:59:36, 7.000               ,463.242             ,28.125              ,4191.158            ,4012.000            ,123.800             ,9.108               
