0, 18-04-2020 18:43:21, Hardware monitoring log v1.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 18:43:21, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 18:43:21, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,,,,,,,,,,,,,,
80, 18-04-2020 18:45:22,46,39,80.816,888.31,800,63,18.75,3289.83,3437,313.3,0,,,45.8,,1428,119,,,,,,,,,,
80, 18-04-2020 18:45:23,46,38,80.816,888.31,800,62,19.922,3190.138,3433,309.5,0,,,45.87,,1440,120,,,,,,,,,,
80, 18-04-2020 18:45:24,46,36,80.816,888.31,800,64,18.555,3289.846,3433,313.2,0,,,45.9,,1452,121,,,,,,,,,,
80, 18-04-2020 18:45:25,46,38,80.816,888.31,800,65,19.922,3090.461,3435,309.1,0,,,45.9,,1464,122,,,,,,,,,,
80, 18-04-2020 18:45:26,46,38,80.816,888.31,800,59,16.602,3289.837,3437,308.4,0,,,45.9,,1476,123,,,,,,,,,,
80, 18-04-2020 18:45:27,46,38,80.816,888.31,800,61,18.555,3289.837,3437,306.4,0,,,45.9,,1488,124,,,,,,,,,,
80, 18-04-2020 18:45:28,46,36,80.816,888.31,800,64,18.75,3190.151,3437,305.7,0,,,45.97,,1500,125,,,,,,,,,,
80, 18-04-2020 18:45:29,46,37,80.816,888.31,800,64,17.969,3289.844,3434,305.7,0,,,46.04,,1512,126,,,,,,,,,,
80, 18-04-2020 18:45:30,46,37,80.816,888.31,800,63,20.313,3289.84,3435,299.1,0,,,46.04,,1524,127,,,,,,,,,,
80, 18-04-2020 18:45:31,46,37,80.816,888.31,800,64,19.336,3190.148,3436,299.7,0,,,46.04,,1536,128,,,,,,,,,,
80, 18-04-2020 18:45:32,46,37,80.816,888.31,800,66,18.945,3190.15,3438,304.4,0,,,46.04,,1548,129,,,,,,,,,,
80, 18-04-2020 18:45:33,46,37,80.816,888.31,800,64,18.75,3090.458,3434,298.4,0,,,46.04,,1560,130,,,,,,,,,,
80, 18-04-2020 18:45:34,46,37,80.816,888.31,800,65,18.555,3190.148,3435,297.2,0,,,46.11,,1572,131,,,,,,,,,,
80, 18-04-2020 18:45:35,46,34,80.816,888.31,800,65,17.773,3289.84,3435,294,0,,,46.11,,1584,132,,,,,,,,,,
80, 18-04-2020 18:45:36,46,36,80.816,888.31,800,65,18.555,3190.149,3437,293,0,,,46.11,,1596,133,,,,,,,,,,
80, 18-04-2020 18:45:37,47,36,80.816,888.31,800,62,19.727,3190.149,3438,290.9,0,,,46.11,,1608,134,,,,,,,,,,
80, 18-04-2020 18:45:38,46,35,80.816,888.31,800,63,19.336,3289.841,3435,288.4,0,,,46.14,,1620,135,,,,,,,,,,
80, 18-04-2020 18:45:39,46,33,80.816,888.31,800,63,18.75,3289.841,3435,286.9,0,,,46.14,,1632,136,,,,,,,,,,
80, 18-04-2020 18:45:40,46,36,80.816,888.31,800,62,18.75,3289.808,3436,286.2,0,,,46.22,,1644,137,,,,,,,,,,
80, 18-04-2020 18:45:41,47,36,80.816,888.31,800,65,18.359,3289.808,3438,284,0,,,46.22,,1656,138,,,,,,,,,,
80, 18-04-2020 18:45:42,46,36,80.816,888.31,800,62,18.75,3190.18,3436,280.3,0,,,46.24,,1668,139,,,,,,,,,,
80, 18-04-2020 18:45:43,46,36,80.816,888.31,800,65,17.037,3289.785,3436,286,0,,,46.27,,1680,140,,,,,,,,,,
