00, 02-05-2020 19:40:55, Hardware monitoring log v1.5 
01, 02-05-2020 19:40:55, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:40:55, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
80, 02-05-2020 19:43:22, 13.000              ,474.586             ,57.031              ,4191.158            ,3884.000            ,536.300             ,0.000               
80, 02-05-2020 19:43:23, 13.000              ,474.586             ,57.422              ,4191.158            ,3893.000            ,535.800             ,0.000               
80, 02-05-2020 19:43:24, 13.000              ,474.586             ,58.594              ,4191.158            ,3891.000            ,534.800             ,0.000               
80, 02-05-2020 19:43:25, 13.000              ,474.586             ,48.047              ,4191.158            ,3882.000            ,545.400             ,0.000               
80, 02-05-2020 19:43:26, 14.000              ,474.586             ,31.250              ,4191.158            ,3882.000            ,567.600             ,0.000               
80, 02-05-2020 19:43:27, 14.000              ,474.586             ,32.031              ,4191.159            ,3882.000            ,566.400             ,0.000               
80, 02-05-2020 19:43:28, 14.000              ,474.586             ,33.984              ,4191.158            ,3882.000            ,553.900             ,0.000               
80, 02-05-2020 19:43:29, 14.000              ,474.586             ,29.297              ,4191.158            ,3882.000            ,555.100             ,0.000               
80, 02-05-2020 19:43:30, 14.000              ,474.586             ,32.422              ,4191.158            ,3882.000            ,556.500             ,0.000               
80, 02-05-2020 19:43:31, 14.000              ,474.586             ,34.375              ,4191.158            ,3889.000            ,546.400             ,0.000               
80, 02-05-2020 19:43:32, 14.000              ,474.586             ,29.688              ,4191.158            ,3892.000            ,548.000             ,0.000               
80, 02-05-2020 19:43:33, 14.000              ,474.586             ,32.031              ,4191.159            ,3892.000            ,542.800             ,0.000               
80, 02-05-2020 19:43:34, 14.000              ,474.586             ,31.641              ,4191.158            ,3883.000            ,536.200             ,0.000               
80, 02-05-2020 19:43:35, 14.000              ,474.586             ,33.203              ,4191.158            ,3884.000            ,534.700             ,0.000               
80, 02-05-2020 19:43:36, 14.000              ,474.586             ,32.813              ,4191.158            ,3892.000            ,532.000             ,0.000               
80, 02-05-2020 19:43:37, 14.000              ,474.586             ,32.031              ,4191.158            ,3892.000            ,527.100             ,0.000               
80, 02-05-2020 19:43:38, 13.000              ,474.586             ,30.469              ,4191.158            ,3884.000            ,528.400             ,0.000               
