0, 18-04-2020 17:08:48,V lang,,,,,C lang,,,,,GO lang,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 17:08:48,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 17:08:48,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:04,35,20.313,394.9,54.96,,42,19.531,389.8,42.97,,35,21.094,358.2,45.29,,46,16.211,108.7,35.3,,888,74,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:05,34,21.289,394.3,55.48,,44,17.773,384.5,42.97,,36,20.898,366.9,45.28,,45,16.016,108.9,35.3,,900,75,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:06,34,18.555,394.6,55.48,,44,17.969,389,42.97,,36,18.164,359.6,45.27,,47,15.625,106.9,35.3,,912,76,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:07,34,19.922,380.6,56,,43,18.555,384.5,43.05,,35,20.898,349.5,45.27,,50,16.211,107.3,35.3,,924,77,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:08,35,20.117,385.4,56.52,,44,18.164,382.9,43.08,,32,19.922,357.7,45.66,,51,14.844,105.6,35.3,,936,78,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:09,32,18.359,384.7,56.52,,43,18.359,378.3,43.08,,35,20.117,348.2,45.57,,50,16.797,104,35.3,,948,79,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:10,35,20.117,391.8,57.03,,42,18.75,374.3,45.08,,34,19.922,349.8,45.57,,54,16.211,104.6,35.32,,960,80,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:11,34,18.945,371.9,57.55,,43,20.117,378,45.1,,33,21.484,340.5,45.3,,56,16.243,103.2,35.32,,972,81,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:12,33,20.117,360.5,58.2,,44,18.945,374.8,45.1,,29,19.922,344.4,45.32,,56,16.016,101.6,35.32,,984,82,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:13,35,19.727,373.2,58.2,,43,17.578,371.1,45.1,,33,19.922,339.1,45.28,,56,16.406,100.7,35.32,,996,83,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:14,34,20.313,369,58.71,,44,19.336,370.3,45.2,,33,18.164,337.7,45.28,,56,16.211,100.9,35.32,,1008,84,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:15,34,20.117,361.6,59.36,,43,19.531,371.8,45.21,,32,21.289,331.9,45.32,,55,15.625,99.3,35.32,,1020,85,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:16,35,20.508,366.9,59.36,,43,18.223,364,45.21,,31,19.922,334.1,45.27,,53,16.797,97.9,35.32,,1032,86,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:17,34,17.383,360.6,59.88,,42,19.141,363.1,45.21,,33,20.313,336.6,45.29,,52,15.039,98.1,35.32,,1044,87,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:18,34,19.922,354.4,60.52,,40,16.602,365.8,45.21,,33,19.531,322.8,45.29,,52,15.82,97.4,35.32,,1056,88,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:19,33,19.727,353.9,61.04,,42,17.383,361.9,43.28,,32,20.117,318.8,45.33,,55,16.211,94.8,35.32,,1068,89,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:20,31,19.141,349.4,61.04,,42,18.75,360.4,43.28,,31,19.531,325.4,45.27,,51,16.406,93.8,35.32,,1080,90,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:10:21,33,19.531,353.9,61.69,,42,17.578,355.9,43.35,,32,16.797,325.2,47.32,,49,15.43,93.6,35.32,,1092,91,,,,,,,,,,,,,,,,,,,,,,
